Parâmetro;Coeficiente;Erro Padrão;IC95% Inferior;IC95% Superior;P-valor (RESS)
Intercepto (β₀);712.2485714285808;19.966714444387758;673.1145302279851;751.3826126291765;p-valor<0,001
Tendência Pré (β₁);7.287142857141609;0.9658854275783448;5.394042205895982;9.180243508387235;p-valor<0,001
Mudança Nível (β₂);-1587.3125203394325;114.42420351128814;-1811.5798381812388;-1363.0452024976262;p-valor<0,001
Mudança Inclinação (β₃);10.198483947162423;1.1314551769853505;7.980872550149743;12.416095344175101;p-valor<0,001
