Procedimento;Total_Procedimentos;Meses_Analisados;Taxa_Crescimento_Mensal (%);R²;P_valor_Tendencia;Impacto_Pandemia (%)
Derivação;62263;120;-1.053330432904623;0.40301208400875577;6.905245648823536e-15;-65.24077851378362
Banda;490;92;1.5530749697964974;0.08217887879815704;0.005598183144708186;92.07675238219552
Videolaparoscopia;23577;104;3.291595037524817;0.6769561330157484;8.946659808924162e-27;526.2480006734573
Manga;1796;117;-0.3515995673221485;0.048074470725402045;0.017541244306207186;-38.83167747886706
