Procedimento;Codigo;Total_Procedimentos;Meses_Analisados;Taxa_Crescimento_Mensal_Pct;R2;P_valor_Tendencia;Impacto_Pandemia_Coef;P_valor_Pandemia
Derivação;407010173;62263;120;-1.053330432904623;0.40301208400875577;6.905245648823536e-15;-807.1612362144141;1.0770114292010516e-43
Banda;407010181;490;92;1.5530749697964974;0.08217887879815704;0.005598183144708186;-1.877240002946713;0.5470444037642099
Videolaparoscopia;407010386;23577;104;3.291595037524817;0.6769561330157484;8.946659808924162e-27;-368.94605042016804;8.747519391532841e-14
Manga;407010360;1796;117;-0.3515995673221485;0.048074470725402045;0.017541244306207186;-16.961414915526824;7.123385986315237e-10
