Procedimento;N_Total;N_Outliers;Percentual_Outliers;Media_Com_Outliers;Media_Sem_Outliers;Diferenca_Media_Pct;Mediana_Com_Outliers;Mediana_Sem_Outliers;Diferenca_Mediana_Pct;DP_Com;DP_Sem
Derivação Gástrica (Bypass);62263;1766;2.8363554599039555;5121.002434078328;4973.641422640991;-2.8775813590070984;4835.148956;4815.52536;-0.40585297740722515;1231.142648268896;720.3850008298255
Banda Gástrica Ajustável;490;0;0.0;7534.909073793879;7534.909073793879;0.0;4907.0;4907.0;0.0;5314.382080300463;5314.382080300463
Cirurgia Bariátrica Videolaparoscópica;23577;5346;22.674640539508843;8559.772217586591;6141.424988516813;-28.25247176672682;6416.514884;6209.8;-3.221606865051573;5463.691842176634;859.112851395898
Gastrectomia Vertical (Manga);1796;170;9.465478841870825;5512.842088584076;4871.9381627921275;-11.62565361919443;4644.8556;4489.6668;-3.341089871555962;2341.053404672379;939.6817156245226
