Procedimento,N,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Q1 (25%),Q3 (75%)
Derivação Gástrica (Bypass),62263,6442.716908918619,6191.7,917.5119446837446,4604.0,32909.61,6145.0,6661.82
Gastrectomia Vertical (Manga),1796,6542.958763919821,5948.375,1878.5607651268306,4373.0,21762.0,5890.0,6406.7075
Banda Gástrica Ajustável,490,8137.292897959184,4997.605,4973.287726314926,4809.4,20327.33,4907.0,16449.0
Cirurgia Bariátrica Videolaparoscópica,23577,8681.661695296265,6201.0,5331.981130449114,6144.99,53647.31,6156.02,7976.75
