Procedimento;Codigo;N_Total;N_Outliers;Percentual_Outliers;Mediana_Nominal;IIQ_Nominal;Q1_Nominal;Q3_Nominal;Media_Nominal;DP_Nominal;Mediana_Ajustada;IIQ_Ajustada;Q1_Ajustada;Q3_Ajustada;Media_Ajustada;DP_Ajustada
Derivação Gástrica (Bypass);407010173;62263;2575;4.1356825080706034;6191.7;516.8199999999997;6145.0;6661.82;6442.716908918619;917.5119446837446;4835.148956;1091.9664999999995;4460.041;5552.0075;5121.002434078328;1231.142648268896
Banda Gástrica Ajustável;407010181;490;0;0.0;4997.605;11542.0;4907.0;16449.0;8137.292897959184;4973.287726314926;4907.0;12571.73608;3875.26392;16447.0;7534.909073793879;5314.382080300463
Cirurgia Bariátrica Videolaparoscópica;407010386;23577;5348;22.683123382957966;6201.0;1820.7299999999996;6156.02;7976.75;8681.661695296265;5331.981130449114;6416.514884;2047.49856;5922.90144;7970.4;8559.772217586591;5463.691842176634
Gastrectomia Vertical (Manga);407010360;1796;235;13.084632516703786;5948.375;516.7075000000004;5890.0;6406.7075;6542.958763919821;1878.5607651268306;4644.8556;1750.8279625000005;4187.276999999999;5938.1049625;5512.842088584076;2341.053404672379
