Procedimento,N,Percentual (%),IC95%_Inferior,IC95%_Superior
Derivação Gástrica (Bypass),62263,70.65224791775412,70.35071311843801,70.95198231079203
Cirurgia Bariátrica Videolaparoscópica,23577,26.75373896466423,26.462489007325935,27.047015467223172
Gastrectomia Vertical (Manga),1796,2.037991058257495,1.9467722112597534,2.133391101527865
Banda Gástrica Ajustável,490,0.5560220593241495,0.509036712954441,0.6073177959554625
