Procedimento;N;Mediana;IIQ;Q1;Q3;Media;Desvio_Padrao
Derivação Gástrica (Bypass);62036;2220.352275;1015.2121699999998;1492.96306;2508.17523;2299.080046224369;1244.561944544625
Banda Gástrica Ajustável;489;1635.6666666666667;3382.0675;1029.723;4411.7905;2399.3450658841157;1923.5617553320958
Cirurgia Bariátrica Videolaparoscópica;23538;3203.3885;4189.246666666666;2056.3333333333335;6245.58;4810.254590326396;4725.256348659148
Gastrectomia Vertical (Manga);1794;1532.920352;1100.587383;1086.205692;2186.793075;1856.577750836343;1177.252833860226
